epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.94906,0.60369,0.91289,1,0.29199,0.067569,0.000327586,0.000327586
2,5.44171,0.27798,0.95826,1,0.13879,0.0345526,0.000644562,0.000644562
3,7.6457,0.17128,0.97641,1,0.09184,0.00151975,0.000945037,0.000945037
4,9.84466,0.10717,0.98004,1,0.06585,0.00092575,0.00092575,0.00092575
5,12.0262,0.08847,0.98004,1,0.06801,0.000901,0.000901,0.000901
6,14.282,0.09346,0.98367,1,0.06374,0.00087625,0.00087625,0.00087625
7,16.527,0.07262,0.97822,1,0.06512,0.0008515,0.0008515,0.0008515
8,18.7923,0.06391,0.98185,1,0.06623,0.00082675,0.00082675,0.00082675
9,21.1096,0.06137,0.98367,1,0.0587,0.000802,0.000802,0.000802
10,23.4598,0.04605,0.98367,1,0.06671,0.00077725,0.00077725,0.00077725
11,25.9908,0.05908,0.98004,1,0.08473,0.0007525,0.0007525,0.0007525
12,28.2279,0.05154,0.98185,1,0.06394,0.00072775,0.00072775,0.00072775
13,30.4448,0.05283,0.98004,1,0.06575,0.000703,0.000703,0.000703
