epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.84837,0.60369,0.91289,1,0.29199,0.067569,0.000327586,0.000327586
2,5.42716,0.27907,0.95826,1,0.14009,0.0345363,0.000628204,0.000628204
3,7.77905,0.17328,0.97459,1,0.09387,0.00147053,0.000895822,0.000895822
4,10.1114,0.10857,0.97278,1,0.06877,0.0008515,0.0008515,0.0008515
5,12.3969,0.08683,0.97822,1,0.06947,0.000802,0.000802,0.000802
6,14.6956,0.09918,0.98185,1,0.07276,0.0007525,0.0007525,0.0007525
7,16.9995,0.07884,0.97278,1,0.06855,0.000703,0.000703,0.000703
8,19.3286,0.06744,0.97459,1,0.06889,0.0006535,0.0006535,0.0006535
9,21.6936,0.06701,0.98367,1,0.0598,0.000604,0.000604,0.000604
10,24.0285,0.05077,0.98367,1,0.06259,0.0005545,0.0005545,0.0005545
11,26.8229,0.05408,0.98185,1,0.07813,0.000505,0.000505,0.000505
12,29.1498,0.05347,0.98185,1,0.05648,0.0004555,0.0004555,0.0004555
13,31.4867,0.05885,0.98185,1,0.05868,0.000406,0.000406,0.000406
14,33.7392,0.04414,0.98185,1,0.05762,0.0003565,0.0003565,0.0003565
15,36.0803,0.06383,0.98185,1,0.06512,0.000307,0.000307,0.000307
16,38.3869,0.04336,0.98004,1,0.05998,0.0002575,0.0002575,0.0002575
17,40.6781,0.04931,0.97822,1,0.06618,0.000208,0.000208,0.000208
18,42.9755,0.04413,0.98004,1,0.05685,0.0001585,0.0001585,0.0001585
19,45.2818,0.03993,0.98004,1,0.06638,0.000109,0.000109,0.000109
20,47.5983,0.04478,0.97822,1,0.0639,5.95e-05,5.95e-05,5.95e-05
