epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,37.3645,0.31453,0.88675,1,0.28555,0.0670323,0.000333007,0.000333007
2,75.3272,0.10704,0.9215,1,0.24095,0.0339664,0.000600373,0.000600373
3,115.596,0.07848,0.94229,1,0.13861,0.000834386,0.000801738,0.000801738
4,154.92,0.06552,0.93857,1,0.18243,0.000703,0.000703,0.000703
5,194.703,0.05609,0.94446,1,0.13707,0.000604,0.000604,0.000604
6,232.874,0.05066,0.94539,1,0.13385,0.000505,0.000505,0.000505
7,269.897,0.04991,0.93733,1,0.17537,0.000406,0.000406,0.000406
8,306.862,0.04642,0.93981,1,0.15352,0.000307,0.000307,0.000307
9,343.756,0.0443,0.9395,1,0.16071,0.000208,0.000208,0.000208
10,380.926,0.04395,0.93515,1,0.17822,0.000109,0.000109,0.000109
