epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,34.624,0.30617,0.90071,1,0.23042,0.0670323,0.000333007,0.000333007
2,68.8141,0.10373,0.92957,1,0.18862,0.0340158,0.000649848,0.000649848
3,102.596,0.0761,0.94229,1,0.13883,0.000982837,0.00095019,0.00095019
4,136.593,0.06455,0.92491,1,0.21413,0.00092575,0.00092575,0.00092575
5,170.367,0.05563,0.92678,1,0.2106,0.000901,0.000901,0.000901
6,204.309,0.05067,0.92585,1,0.22457,0.00087625,0.00087625,0.00087625
7,238.378,0.04772,0.93267,1,0.21434,0.0008515,0.0008515,0.0008515
8,272.205,0.045,0.91871,1,0.26338,0.00082675,0.00082675,0.00082675
9,306.02,0.04408,0.91374,1,0.31178,0.000802,0.000802,0.000802
10,339.442,0.0414,0.92957,1,0.24121,0.00077725,0.00077725,0.00077725
11,373.061,0.04106,0.92522,1,0.28269,0.0007525,0.0007525,0.0007525
12,406.518,0.03989,0.92522,1,0.26867,0.00072775,0.00072775,0.00072775
13,440.093,0.03766,0.92554,1,0.29482,0.000703,0.000703,0.000703
14,473.635,0.03735,0.92398,1,0.28547,0.00067825,0.00067825,0.00067825
15,507.284,0.03754,0.92305,1,0.31556,0.0006535,0.0006535,0.0006535
16,540.974,0.03651,0.92119,1,0.3186,0.00062875,0.00062875,0.00062875
17,574.519,0.03471,0.92243,1,0.30543,0.000604,0.000604,0.000604
18,608.122,0.0336,0.92119,1,0.30596,0.00057925,0.00057925,0.00057925
19,641.794,0.03421,0.91995,1,0.31684,0.0005545,0.0005545,0.0005545
20,675.503,0.03314,0.91933,1,0.32525,0.00052975,0.00052975,0.00052975
21,709.009,0.03246,0.91995,1,0.31354,0.000505,0.000505,0.000505
22,742.392,0.03164,0.91995,1,0.32889,0.00048025,0.00048025,0.00048025
23,776.035,0.03122,0.92026,1,0.32063,0.0004555,0.0004555,0.0004555
24,809.516,0.03101,0.92057,1,0.31864,0.00043075,0.00043075,0.00043075
25,843.239,0.0311,0.92026,1,0.34802,0.000406,0.000406,0.000406
26,876.886,0.02934,0.91995,1,0.34036,0.00038125,0.00038125,0.00038125
27,910.567,0.03014,0.91964,1,0.3392,0.0003565,0.0003565,0.0003565
28,944.204,0.02922,0.91933,1,0.357,0.00033175,0.00033175,0.00033175
29,977.639,0.02903,0.91902,1,0.38316,0.000307,0.000307,0.000307
30,1011.21,0.02937,0.91902,1,0.34966,0.00028225,0.00028225,0.00028225
31,1045.08,0.02867,0.91809,1,0.36347,0.0002575,0.0002575,0.0002575
32,1078.55,0.02849,0.91778,1,0.37229,0.00023275,0.00023275,0.00023275
33,1112.15,0.02793,0.91716,1,0.37437,0.000208,0.000208,0.000208
34,1145.69,0.02809,0.91592,1,0.36628,0.00018325,0.00018325,0.00018325
35,1179.26,0.02817,0.91561,1,0.39102,0.0001585,0.0001585,0.0001585
36,1212.83,0.02789,0.91437,1,0.37298,0.00013375,0.00013375,0.00013375
37,1246.35,0.02744,0.91343,1,0.39441,0.000109,0.000109,0.000109
38,1279.96,0.02676,0.9125,1,0.37947,8.425e-05,8.425e-05,8.425e-05
39,1313.58,0.02775,0.91095,1,0.38438,5.95e-05,5.95e-05,5.95e-05
40,1347.35,0.02683,0.91064,1,0.40314,3.475e-05,3.475e-05,3.475e-05
