epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.53213,0.74103,0.53953,1,0.7019,0.08515,0.00015,0.00015
2,3.74344,0.6901,0.6,1,0.61084,0.0693023,0.000302328,0.000302328
3,4.88435,0.64079,0.66512,1,0.57886,0.0534467,0.000446735,0.000446735
4,6.00637,0.57294,0.73023,1,0.52197,0.0375832,0.000583223,0.000583223
5,7.11179,0.53168,0.82326,1,0.48157,0.0217118,0.00071179,0.00071179
6,8.24128,0.50127,0.88372,1,0.31519,0.00583244,0.000832437,0.000832437
7,9.35329,0.41529,0.93023,1,0.22296,0.0008515,0.0008515,0.0008515
8,10.4335,0.34022,0.95814,1,0.16217,0.00082675,0.00082675,0.00082675
9,11.6086,0.28003,0.97674,1,0.10507,0.000802,0.000802,0.000802
10,12.7077,0.24875,0.9814,1,0.08444,0.00077725,0.00077725,0.00077725
11,13.7639,0.2245,0.9814,1,0.04558,0.0007525,0.0007525,0.0007525
12,14.8611,0.20235,0.9814,1,0.05518,0.00072775,0.00072775,0.00072775
13,16.0349,0.183,0.98605,1,0.04382,0.000703,0.000703,0.000703
14,17.2174,0.17631,0.9814,1,0.04752,0.00067825,0.00067825,0.00067825
15,18.3186,0.15805,0.9814,1,0.05263,0.0006535,0.0006535,0.0006535
16,19.4411,0.16321,0.98605,1,0.04622,0.00062875,0.00062875,0.00062875
17,20.5134,0.15325,0.9814,1,0.03342,0.000604,0.000604,0.000604
18,21.6122,0.15182,0.98605,1,0.05292,0.00057925,0.00057925,0.00057925
19,22.6964,0.15564,0.98605,1,0.04337,0.0005545,0.0005545,0.0005545
20,23.7994,0.13985,0.9907,1,0.03644,0.00052975,0.00052975,0.00052975
21,25.0173,0.13821,0.9907,1,0.03457,0.000505,0.000505,0.000505
22,26.1998,0.13751,0.99535,1,0.03559,0.00048025,0.00048025,0.00048025
23,27.3139,0.11241,0.98605,1,0.04346,0.0004555,0.0004555,0.0004555
24,28.3969,0.12548,0.98605,1,0.04385,0.00043075,0.00043075,0.00043075
25,29.6455,0.11333,0.98605,1,0.04822,0.000406,0.000406,0.000406
26,30.7566,0.10981,0.98605,1,0.02334,0.00038125,0.00038125,0.00038125
27,31.9579,0.12312,0.98605,1,0.02762,0.0003565,0.0003565,0.0003565
28,33.0767,0.11756,0.98605,1,0.0218,0.00033175,0.00033175,0.00033175
29,34.238,0.13006,0.9907,1,0.04763,0.000307,0.000307,0.000307
30,35.369,0.13993,0.9907,1,0.03607,0.00028225,0.00028225,0.00028225
31,37.4337,0.11279,0.9907,1,0.0349,0.0002575,0.0002575,0.0002575
32,38.7213,0.12108,0.9907,1,0.02019,0.00023275,0.00023275,0.00023275
33,39.9072,0.10277,0.9907,1,0.0168,0.000208,0.000208,0.000208
34,41.0322,0.11522,0.9907,1,0.01789,0.00018325,0.00018325,0.00018325
35,42.2838,0.1177,0.99535,1,0.01514,0.0001585,0.0001585,0.0001585
36,43.5227,0.13685,0.9907,1,0.01488,0.00013375,0.00013375,0.00013375
37,44.6823,0.1122,0.99535,1,0.01406,0.000109,0.000109,0.000109
38,45.9244,0.12753,0.9907,1,0.01586,8.425e-05,8.425e-05,8.425e-05
39,47.2237,0.1037,0.99535,1,0.0157,5.95e-05,5.95e-05,5.95e-05
40,48.3442,0.11964,0.9907,1,0.02161,3.475e-05,3.475e-05,3.475e-05
