epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.24,0.37385,0.83804,1,0.38346,0.0670646,0.000332681,0.000332681
2,54.3623,0.13036,0.93019,1,0.18399,0.0340514,0.000652827,0.000652827
3,81.4726,0.08656,0.93733,1,0.16414,0.00102501,0.000959774,0.000959774
4,108.565,0.07001,0.93577,1,0.17454,0.0009406,0.0009406,0.0009406
5,135.582,0.061,0.94167,1,0.14084,0.0009208,0.0009208,0.0009208
6,162.642,0.05595,0.93919,1,0.15058,0.000901,0.000901,0.000901
7,189.704,0.05055,0.93888,1,0.18125,0.0008812,0.0008812,0.0008812
8,216.947,0.04979,0.93267,1,0.17772,0.0008614,0.0008614,0.0008614
9,244.175,0.04621,0.91685,1,0.23344,0.0008416,0.0008416,0.0008416
10,271.445,0.04464,0.93795,1,0.15575,0.0008218,0.0008218,0.0008218
11,298.683,0.04285,0.93205,1,0.21249,0.000802,0.000802,0.000802
12,325.921,0.04272,0.93143,1,0.17595,0.0007822,0.0007822,0.0007822
13,353.137,0.04173,0.92864,1,0.2065,0.0007624,0.0007624,0.0007624
14,380.429,0.04118,0.92491,1,0.2381,0.0007426,0.0007426,0.0007426
15,407.824,0.0397,0.91685,1,0.33017,0.0007228,0.0007228,0.0007228
16,435.177,0.03862,0.92678,1,0.26793,0.000703,0.000703,0.000703
17,462.502,0.03863,0.92554,1,0.23959,0.0006832,0.0006832,0.0006832
18,489.775,0.03734,0.92212,1,0.26365,0.0006634,0.0006634,0.0006634
19,517.071,0.03629,0.92336,1,0.27952,0.0006436,0.0006436,0.0006436
20,544.405,0.03712,0.9246,1,0.27275,0.0006238,0.0006238,0.0006238
21,571.663,0.03591,0.92367,1,0.264,0.000604,0.000604,0.000604
22,598.986,0.03523,0.92429,1,0.28851,0.0005842,0.0005842,0.0005842
23,626.377,0.03553,0.92491,1,0.27698,0.0005644,0.0005644,0.0005644
24,653.596,0.03431,0.92398,1,0.25952,0.0005446,0.0005446,0.0005446
25,680.928,0.03496,0.92367,1,0.30241,0.0005248,0.0005248,0.0005248
26,708.238,0.03245,0.92305,1,0.28988,0.000505,0.000505,0.000505
27,735.472,0.03381,0.92274,1,0.27744,0.0004852,0.0004852,0.0004852
28,762.732,0.0332,0.92119,1,0.30654,0.0004654,0.0004654,0.0004654
29,790.041,0.0327,0.92026,1,0.34666,0.0004456,0.0004456,0.0004456
30,817.322,0.03274,0.92057,1,0.28478,0.0004258,0.0004258,0.0004258
31,844.689,0.03221,0.91964,1,0.30366,0.000406,0.000406,0.000406
32,871.991,0.03133,0.91964,1,0.31878,0.0003862,0.0003862,0.0003862
33,899.261,0.03122,0.92057,1,0.32496,0.0003664,0.0003664,0.0003664
34,926.527,0.03125,0.91995,1,0.30186,0.0003466,0.0003466,0.0003466
35,953.819,0.03182,0.91995,1,0.33619,0.0003268,0.0003268,0.0003268
36,981.106,0.03103,0.92026,1,0.30029,0.000307,0.000307,0.000307
37,1008.31,0.03101,0.92026,1,0.32836,0.0002872,0.0002872,0.0002872
38,1035.62,0.03141,0.91964,1,0.30119,0.0002674,0.0002674,0.0002674
39,1062.89,0.03004,0.91933,1,0.30434,0.0002476,0.0002476,0.0002476
40,1090.17,0.03096,0.91809,1,0.32933,0.0002278,0.0002278,0.0002278
41,1117.87,0.03003,0.9184,1,0.36502,0.000208,0.000208,0.000208
42,1145.32,0.02972,0.9184,1,0.3243,0.0001882,0.0001882,0.0001882
43,1172.63,0.03,0.91902,1,0.31342,0.0001684,0.0001684,0.0001684
44,1199.93,0.03011,0.91902,1,0.32541,0.0001486,0.0001486,0.0001486
45,1227.32,0.02985,0.91902,1,0.33536,0.0001288,0.0001288,0.0001288
46,1254.66,0.02909,0.91809,1,0.34102,0.000109,0.000109,0.000109
47,1282.02,0.02891,0.91809,1,0.32574,8.92e-05,8.92e-05,8.92e-05
48,1309.36,0.02908,0.91778,1,0.33988,6.94e-05,6.94e-05,6.94e-05
49,1336.71,0.02898,0.91716,1,0.35429,4.96e-05,4.96e-05,4.96e-05
50,1364.03,0.02982,0.91778,1,0.32832,2.98e-05,2.98e-05,2.98e-05
