epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.45228,0.58473,0.91107,1,0.29889,0.0675789,0.000327485,0.000327485
2,5.94253,0.28139,0.9637,1,0.13431,0.0345135,0.000595398,0.000595398
3,8.22119,0.16375,0.9637,1,0.09342,0.00138211,0.00079731,0.00079731
4,10.4976,0.12248,0.98367,1,0.05717,0.000703,0.000703,0.000703
5,12.7699,0.09689,0.98367,1,0.06215,0.000604,0.000604,0.000604
6,15.1387,0.08761,0.98367,1,0.06364,0.000505,0.000505,0.000505
7,17.4957,0.08105,0.98367,1,0.05949,0.000406,0.000406,0.000406
8,19.7149,0.06913,0.98185,1,0.05211,0.000307,0.000307,0.000307
9,22.0068,0.07125,0.98367,1,0.05743,0.000208,0.000208,0.000208
10,24.2472,0.07345,0.98185,1,0.05629,0.000109,0.000109,0.000109
