epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.29327,0.58472,0.91107,1,0.29883,0.0675789,0.000327485,0.000327485
2,13.0575,0.28138,0.9637,1,0.13434,0.0345135,0.000595398,0.000595398
3,17.9551,0.1637,0.9637,1,0.09347,0.00138211,0.00079731,0.00079731
4,22.9067,0.12256,0.98185,1,0.0572,0.000703,0.000703,0.000703
5,27.8082,0.09603,0.98367,1,0.06037,0.000604,0.000604,0.000604
6,32.7249,0.08745,0.98367,1,0.06471,0.000505,0.000505,0.000505
7,37.5547,0.082,0.98367,1,0.05626,0.000406,0.000406,0.000406
8,42.2763,0.06797,0.98185,1,0.04864,0.000307,0.000307,0.000307
9,47.0647,0.073,0.98367,1,0.05405,0.000208,0.000208,0.000208
10,52.0325,0.07255,0.98185,1,0.05309,0.000109,0.000109,0.000109
